iter	Passed	Remaining
0	73	73819
1	91	45830
2	109	36449
3	127	31678
4	144	28795
5	160	26604
6	176	25021
7	193	24045
8	211	23295
9	227	22570
10	246	22150
11	262	21648
12	280	21307
13	297	20986
14	315	20745
15	333	20489
16	349	20227
17	366	19988
18	381	19711
19	399	19575
20	415	19375
21	433	19273
22	448	19054
23	463	18864
24	483	18870
25	507	19013
26	524	18902
27	542	18830
28	559	18740
29	577	18670
30	595	18607
31	613	18551
32	628	18427
33	648	18423
34	665	18341
35	683	18293
36	702	18288
37	719	18212
38	738	18207
39	756	18156
40	774	18118
41	792	18074
42	810	18045
43	829	18027
44	847	17996
45	867	17994
46	885	17955
47	903	17909
48	920	17872
49	939	17843
50	956	17804
51	973	17754
52	989	17681
53	1008	17668
54	1026	17643
55	1044	17599
56	1061	17562
57	1078	17520
58	1095	17477
59	1114	17460
60	1133	17442
61	1151	17426
62	1165	17341
63	1181	17279
64	1197	17219
65	1215	17195
66	1231	17155
67	1248	17108
68	1264	17059
69	1281	17022
70	1299	17007
71	1315	16958
72	1334	16940
73	1352	16920
74	1368	16874
75	1384	16830
76	1403	16819
77	1418	16766
78	1436	16747
79	1456	16745
80	1474	16731
81	1492	16711
82	1511	16698
83	1528	16667
84	1547	16657
85	1569	16678
86	1594	16737
87	1616	16749
88	1636	16747
89	1653	16721
90	1669	16679
91	1687	16654
92	1707	16657
93	1727	16647
94	1744	16621
95	1760	16576
96	1776	16535
97	1791	16492
98	1810	16473
99	1826	16438
100	1844	16420
101	1862	16399
102	1880	16372
103	1899	16361
104	1915	16327
105	1932	16302
106	1951	16289
107	1967	16254
108	1986	16241
109	2006	16232
110	2022	16195
111	2039	16166
112	2057	16149
113	2076	16141
114	2095	16125
115	2114	16114
116	2133	16099
117	2151	16079
118	2168	16054
119	2186	16036
120	2205	16024
121	2224	16011
122	2240	15973
123	2258	15955
124	2276	15933
125	2294	15916
126	2313	15902
127	2333	15896
128	2351	15877
129	2369	15856
130	2388	15845
131	2408	15838
132	2427	15822
133	2446	15811
134	2466	15804
135	2484	15785
136	2503	15769
137	2522	15757
138	2541	15743
139	2559	15722
140	2578	15706
141	2597	15693
142	2617	15689
143	2636	15673
144	2653	15645
145	2671	15627
146	2690	15609
147	2707	15587
